Stellungnahme   thes  2 nil nil 56
winseln   korp  2 speech  nil 55
einwerfen hbk 2 nil nil 53
trotzen   korp  2 speech  nil 53
einwilligen hbk 2 nil nil 51
frohlocken  hbk 2 nil rep 48
grunzen   korp  2 speech  nil 45
heucheln  korp  2 speech  nil 45
freisprechen  hbk 2 nil rep 43
abhören hbk 2 nil nil 43
ordern  hbk 2 nil nil 42
schnattern  hbk 2 nil rep 41
aufschneiden  hbk 2 nil ambig 40
aufgreifen  hbk 2 nil nil 39
Devise  thes  2 nil nil 39
wehklagen hbk 2 nil rep 34
verdeutlichen hbk 2 nil nil 32
verfluchen  hbk 2 nil rep 30
quieken   korp  2 speech  nil 28
schmollen   korp  2 speech  nil 26
abschweifen hbk 2 nil rep 24
insistieren hbk 2 nil nil 23
protzen hbk 2 nil nil 22
suggerieren hbk 2 nil nil 22
verunglimpfen hbk 2 nil rep 20
verleumden  hbk 2 nil rep 18
aushandeln  hbk 2 nil nil 18
zusichern hbk 2 nil nil 18
quäken  korp  2 speech  nil 18
simsen  hbk 2 nil rep 16
abberufen hbk 2 nil rep 14
hänseln hbk 2 nil nil 12
abkommandieren  hbk 2 nil rep 11
anreißen  hbk 2 nil ambig 11
diffamieren hbk 2 nil rep 9
erbetteln hbk 2 nil rep 8
abwürgen  hbk 2 nil nil 7
anprangern  hbk 2 nil nil 7
abordnen  hbk 2 nil nil 5
inserieren  hbk 2 nil rep 4
anfauchen hbk 2 nil nil 4
telegrafieren hbk 2 nil nil 4
Rückmeldung   thes  2 nil nil 3
abblasen  hbk 2 nil rep 2
herunterrasseln hbk 2 nil rep 2
herumschreien hbk 2 nil rep 1
nominieren  hbk 2 nil rep 1
angeifern hbk 2 nil nil 1
herumgrölen hbk 2 nil rep 0
herumkreischen  hbk 2 nil rep 0
rumgrölen hbk 2 nil rep 0
rumkreischen  hbk 2 nil rep 0
rumschreien hbk 2 nil rep 0
rumstottern hbk 2 nil rep 0
stenografieren  hbk 2 nil rep 0
telefaxen hbk 2 nil nil 0
echoen  korp  2 speech  nil 0
hinfügen  korp  2 speech  nil 0
Absage  thes  2 nil nil 0
hören   korp  3 speech  nil 12209
nennen  hbk 3 speech  nil 6203
stimmen   korp  3 speech  teil  5816
lesen   korp  3 writing nil 5317
enden   korp  3 speech  nil 5078
fühlen  korp  3 feel  nil 4887
schließen   korp  3 speech  nil 4363
lächeln   korp  3 speech  nil 4119
lachen  korp  3 speech  nil 3588
bestehen  korp  3 speech  nil 2998
empfinden   korp  3 thought nil 2257
befinden  korp  3 speech  nil 2238
bieten  korp  3 speech  nil 2169
nicken  korp  3 speech  hand  1974
klingen   korp  3 speech  nil 1828
erschrecken   korp  3 thought nil 1786
träumen   korp  3 thought nil 1653
singen  korp  3 speech  nil 1578
weinen  korp  3 speech  nil 1349
Gesetz  thes  3 nil rep 853
anbieten  hbk 3 nil nil 733
Unterhaltung  thes  3 nil rep 644
Widerspruch   thes  3 nil nil 618
grinsen   korp  3 speech  nil 612
berufen hbk 3 nil nil 568
Forderung erg 3 nil nil 553
anzeigen  hbk 3 nil nil 548
vollenden   korp  3 speech  nil 518
rasen   korp  3 speech  nil 475
posten  hbk 3 nil nil 466
klatschen hbk 3 nil ambig 449
ablehnen  korp  3 speech  nil 444
trösten   korp  3 speech  nil 440
spinnen   korp  3 speech  nil 439
Bescheid  thes  3 nil nil 435
ausführen   korp  3 speech  nil 426
wüten   korp  3 speech  nil 413
Aufsatz   thes  3 nil rep 412
streiten  hbk 3 nil nil 407
veranlassen hbk 3 nil nil 380
heulen  korp  3 speech  nil 360
Artikel   thes  3 nil rep 353
